"","UserID","Gender","Supertoto_max_stakes","Supertoto_mean_Bets","Supertoto_mean_Stakes","Supertoto_mean_Winnings","Recency_bet_supertoto","Continent"
"449",1363556,1,0.4,1,0.4,0.33,114,"Europe"
"450",1363559,1,1.6,1,1.6,1.48,185,"Europe"
"451",1363591,1,76.8,0.83,33.23,27.89,121,"Europe"
"452",1363641,1,16,1,16,13.2,3,"Europe"
"453",1363664,0,84.3,5.31,11.74,9.77,120,"Europe"
"454",1363684,1,6.4,2,2.57,2.12,21,"Europe"
"455",1363719,1,0.5,1,0.5,0.41,24,"Europe"
"456",1363786,1,5.4,1,2.1,1.73,14,"Europe"
"457",1363979,1,1,1,0.43,0.36,27,"Asia"
"458",1364048,1,1,1,1,0.82,188,"Europe"
"459",1364063,1,4.2,12.23,2.21,1.85,133,"Europe"
"460",1364096,1,0.8,1,0.57,0.52,185,"Europe"
"461",1364232,1,0.5,1,0.4,0.33,1,"Asia"
"462",1364593,1,1,1.55,0.35,0.3,28,"Europe"
"463",1364684,1,4,1,4,3.3,172,"Europe"
"464",1364691,1,11,1.67,6.33,5.22,207,"Europe"
"465",1364802,1,1,2,1,0.82,221,"Europe"
"466",1364828,1,7.2,1,7.2,5.94,219,"Europe"
"467",1364844,1,0.1,1,0.1,0.08,197,"Europe"
"468",1365011,1,24.3,1.75,3.08,2.54,42,"Asia"
"469",1365047,1,1,1.5,0.75,0.62,221,"Asia"
"470",1365074,1,0.1,1,0.1,0.08,225,"Europe"
"471",1365178,1,4.8,1,1.49,1.23,18,"Europe"
"472",1365197,1,0.5,1,0.32,0.27,45,"Europe"
"473",1365282,1,3.2,1,1.85,1.53,223,"Europe"
"474",1365363,1,1,0.88,0.55,0.46,124,"Europe"
"475",1365467,1,10.4,3,10.4,9.22,213,"Europe"
"476",1365490,1,3.2,1,1.44,1.19,119,"Europe"
"477",1365584,1,1,1,0.75,0.62,182,"Asia"
"478",1365606,1,0.1,1,0.1,0.08,149,"Europe"
"479",1365846,1,0.1,1,0.1,0.09,31,"Europe"
"480",1365898,1,2.4,1.33,1.23,1.02,219,"Europe"
"481",1365969,1,0.5,1,0.5,0.41,16,"Europe"
"482",1366019,1,56,0.95,14.21,11.75,1,"Europe"
"483",1366028,1,3.6,0.84,2.02,1.7,5,"Europe"
"484",1366045,1,0.8,1,0.8,0.74,31,"Europe"
"485",1366080,1,0.5,1,0.5,0.41,215,"Europe"
"486",1366224,1,25.6,2.37,5.69,4.71,27,"Europe"
"487",1366423,1,4,1.33,2.67,2.2,4,"Europe"
"488",1366464,1,8,1,5.3,4.45,146,"Europe"
"489",1366683,1,1.6,1,0.83,0.69,76,"Asia"
"490",1366686,1,3.2,1,1.4,1.16,215,"Europe"
"491",1366789,1,0.1,1,0.1,0.08,190,"Europe"
"492",1366934,1,0.1,1,0.1,0.08,190,"Europe"
"493",1367045,0,0.1,1,0.1,0.09,221,"Europe"
"494",1367055,1,38.4,0.83,6.1,5.07,3,"Europe"
"495",1367060,0,0.5,1,0.35,0.29,18,"Europe"
"496",1367126,1,0.5,1,0.3,0.25,112,"Europe"
"497",1367268,1,0.8,1,0.28,0.23,204,"Europe"
"498",1367363,1,1.2,3.17,0.58,0.49,48,"Europe"
"499",1367399,1,0.1,0.5,0.05,0.04,208,"Europe"
"500",1367552,1,0.1,1,0.1,0.08,156,"Europe"
"501",1367762,1,14.4,0.8,4.56,3.89,149,"Europe"
"502",1367769,1,1.6,1,1.6,1.32,224,"Europe"
"503",1368058,1,0.4,1,0.4,0.33,141,"Europe"
"504",1368118,1,2,1.17,0.8,0.66,197,"Europe"
"505",1368157,1,0.5,1,0.5,0.41,217,"Europe"
"506",1368413,1,0.3,2.5,0.25,0.21,217,"Asia"
"507",1368475,1,2,1,1.15,0.95,180,"Europe"
"508",1368507,1,0.5,1,0.23,0.2,164,"Europe"
"509",1368509,1,0.1,1,0.1,0.09,3,"Europe"
"510",1368512,1,6.4,1,4.8,3.96,176,"Europe"
"511",1368649,1,1.98,1.8,0.82,0.67,17,"Europe"
"512",1369069,1,6.4,1,2.43,2,2,"Asia"
"513",1369086,1,27,1,27,22.27,186,"Europe"
"514",1369454,1,0.5,1,0.5,0.41,209,"Asia"
"515",1369646,1,0.5,1,0.5,0.41,223,"Europe"
"516",1369736,1,2,1,2,1.65,11,"Europe"
